"","SRR10416996","SRR10416997","SRR10416998","SRR10417001","SRR10417002","SRR10417003","SRR10417006","SRR10417007","SRR10417008"
"SRR10416996",0,109.884383753047,118.372738563508,143.050892038066,135.732327233464,128.806733110753,281.96600497951,288.41987670236,318.340622646712
"SRR10416997",109.884383753047,0,115.255669615832,143.631967573904,139.297724722443,133.636351661087,283.985968935036,295.827801430695,323.965590417669
"SRR10416998",118.372738563508,115.255669615832,0,142.499797854017,140.163396421468,127.627715072846,285.811205549866,294.864992060734,321.305446099684
"SRR10417001",143.050892038066,143.631967573904,142.499797854017,0,159.581624084795,132.470402071832,282.796991453921,292.713291672045,319.678397944206
"SRR10417002",135.732327233464,139.297724722443,140.163396421468,159.581624084795,0,125.353401797415,300.300293455502,305.281486366551,327.692137800033
"SRR10417003",128.806733110753,133.636351661087,127.627715072846,132.470402071832,125.353401797415,0,286.403806071862,293.22753229276,316.327307429558
"SRR10417006",281.96600497951,283.985968935036,285.811205549866,282.796991453921,300.300293455502,286.403806071862,0,97.5771416557351,130.087485482143
"SRR10417007",288.41987670236,295.827801430695,294.864992060734,292.713291672045,305.281486366551,293.22753229276,97.5771416557351,0,114.133505650395
"SRR10417008",318.340622646712,323.965590417669,321.305446099684,319.678397944206,327.692137800033,316.327307429558,130.087485482143,114.133505650395,0
